,TFIDF Cluster,jobSkill_x,jobSkill_y,title
104,106,"Human Resources,Finance, Sales,Business Development, Sales,Customer Service, Information Technology,Accounting/Auditing,Marketing, Sales",,15
105,107,"Legal,Legal, Writing/Editing,Management, Manufacturing,Project Management,Information Technology, Supply Chain,Legal, Consulting, Other,Project Management, Information Technology,Administrative,Other,Purchasing, Supply Chain",,14
106,108,"Research, Analyst, Information Technology",,3
107,109,"Engineering, Information Technology",,6
108,110,"Engineering, Information Technology",,20
109,111,"Advertising, Analyst,Research,Other,Advertising, Public Relations, Marketing,Advertising, Marketing, Purchasing,Consulting, Human Resources, Business Development,Accounting/Auditing,Sales, Business Development,Advertising, Art/Creative, Design,Advertising,Management, Customer Service, Project Management,Human Resources, Sales, Business Development,Sales,Strategy/Planning, Advertising, Customer Service,Design, Art/Creative, Advertising,Project Management, Information Technology,Advertising, Project Management,Consulting, Project Management, Strategy/Planning,Project Management, Consulting, Customer Service,Consulting, Information Technology, Project Management,Information Technology,Human Resources,Consulting,Finance, Analyst, Accounting/Auditing,Finance, Advertising, Marketing,Finance, Accounting/Auditing,Finance, Administrative,Engineering, Information Technology,Supply Chain,Accounting/Auditing, Advertising, Finance,Customer Service, Information Technology,Finance, Sales,Business Development, Sales,Human Resources, Consulting,Finance, Sales, Business Development,Consulting, Information Technology,Research, Analyst, Information Technology,Management, Manufacturing,Advertising, Analyst, Consulting,Marketing, Sales,Advertising, Consulting, Strategy/Planning,Education, Training, Marketing,Research, Analyst,Advertising, Marketing,Marketing, Writing/Editing, Public Relations,Advertising, Marketing, Sales,Advertising, Marketing, Other,Consulting, Information Technology, Sales,Marketing,Design, Art/Creative, Information Technology,Art/Creative",,79
110,112,"Information Technology, Product Management, Engineering,Finance, Information Technology,Business Development, General Business, Information Technology,Strategy/Planning, Consulting, Information Technology,Finance, Information Technology, Engineering,Engineering, Information Technology,Product Management, Marketing,Information Technology, Customer Service,Management, Information Technology, Consulting,Public Relations, Marketing, Information Technology",,31
111,113,"Engineering, Information Technology,Product Management, Marketing,Engineering,Quality Assurance,Engineering, Information Technology, Research",,22
112,114,"General Business, Management, Consulting,Marketing,Customer Service,Human Resources, Consulting",,18
113,115,"Information Technology, Product Management, Engineering,Marketing, Sales,Education, Information Technology, Engineering,Human Resources,Advertising, General Business, Marketing",,6
114,116,"Sales, Product Management, Customer Service,Sales, Business Development,Sales,Sales, Business Development, Strategy/Planning,General Business, Sales, Customer Service,Supply Chain, Manufacturing,Other,Management, Manufacturing,Business Development, Sales,Consulting, Information Technology, Sales,Customer Service, Product Management, Sales,Marketing, Business Development, Sales",,24
115,117,"Engineering, Information Technology",,3
116,118,"Engineering, Information Technology,Engineering,Information Technology, Product Management",,8
117,119,"Consulting, Engineering,Engineering, Information Technology,Information Technology, Analyst, Other,Engineering,Engineering, Information Technology, Consulting,Information Technology,Management, Distribution, Supply Chain,Management, Manufacturing,Sales, Business Development, Customer Service,Product Management, Marketing,Design, Art/Creative,Sales, Business Development,Legal,Customer Service, Information Technology,Human Resources,Marketing, Sales,Consulting, Project Management, Quality Assurance,Other,Project Management, Information Technology,Business Development, Sales,Consulting, Information Technology, Sales,Sales,Finance, Accounting/Auditing,Finance,Analyst, Information Technology, Engineering,Research, Analyst, Information Technology,Purchasing, Supply Chain,Finance, Sales,Business Development, Finance, Engineering,Project Management,Quality Assurance,Design, Art/Creative, Information Technology,Administrative,Project Management, Management, Strategy/Planning,Education, Training,Business Development,Design, Marketing, Sales",,98
118,120,"Engineering, Information Technology",,4
119,121,"Engineering, Information Technology,Information Technology,Finance, Information Technology,Analyst, Information Technology, Engineering,Information Technology, Engineering,Finance,Information Technology, Consulting,Finance, Engineering,Business Development, Engineering, Information Technology,Art/Creative, Business Development, Engineering,Engineering,Other,Engineering, Information Technology, Other,Business Development, Information Technology, Research,Education,Human Resources,Product Management, Marketing",,110
120,122,"Sales, Consulting, Engineering,Marketing, Public Relations, Writing/Editing,Engineering, Information Technology,Marketing, Sales,Project Management, Information Technology,Research, Analyst, Information Technology,Customer Service, Information Technology,Business Development, Sales,Finance, Analyst, Accounting/Auditing,Product Management, Marketing,Sales, Business Development",,28
121,123,"Information Technology,Sales, Business Development,Management, Manufacturing",,4
122,124,"Marketing, Public Relations, Writing/Editing,Business Development,Marketing, Sales",,9
123,125,"Marketing, Sales,Sales, Business Development",,7
124,126,"Art/Creative, Design, Product Management,Finance, Administrative, Accounting/Auditing,Quality Assurance, Information Technology, Engineering,General Business, Management, Consulting,Information Technology, Engineering,Analyst,Training, Human Resources,Research, Analyst, Information Technology",,36
